rating,text,title,date,city
5,Rahul,Perfect product!,Nov 2024,Karnal
5,All are good,Classy product,Nov 2024,Khagaria District
3,Abdul,"Battery backup is very bad,",Nov 2024,Kozhikode
5,Perfect,Highly recommended,Nov 2024,Greater Noida
5,iOS 17 is awesome AKHIL THOTA,Highly recommended,Jan 2024,Hyderabad
5,Product is excellent atinder paul,Super!,Feb 2024,Kathua
4,phone quality next level great and performance great display good Battery is good but less than other Android phones in this range Thank you Flipkart great survive secure,Wonderful,Nov 2024,Bara Jumla
5,Product was good condition.,Must buy!,Nov 2024,Bangalore
5,Too good,Excellent,Nov 2024,Aiho
5,"Everything is phone is good, but battery is not good",Super!,Nov 2024,Kolkata
5,Excellent,Worth every penny,Nov 2024,Baran
5,Original iPhone very good,Awesome,Nov 2024,Fatwah
3,Saleem,Battery not good.,Nov 2024,Joya
5,Super,Highly recommended,Nov 2024,Nagal Chaudhry
5,Good product,Wonderful,Jan 2024,Bengaluru
4,Nice phone,Good quality product,Nov 2024,Indore
5,I m a iPhone user since 2016.Its performance is better than from any android device .I m little bit disappointed for apple design and battery life Kanhu charan,Super!,Nov 2024,Koraput
5,Original. Best deal.,Great product,Nov 2024,Mumbai
5,Super device 1st time using iPhone it is great experience... Umesh kumar,Wonderful,Nov 2024,Chennai
5,Rajesh,Excellent,Nov 2024,New Delhi
5,Excellent in look Too good in Performance so diligent,Brilliant,Sep 2024,Pune
5,Excellent product,Highly recommended,Nov 2024,Kadapa
5,Full mauj,Perfect product!,Nov 2024,Kolkata
1,"Calculator, touch and many other functions not up to the mark Mahesh kumar",Did not meet expectations,Nov 2024,Gandhinagar
5,Very nice,Brilliant,Sep 2024,New Delhi
4,Awesome,Terrific,Jan 2024,Kanke
5,Great experience,Wonderful,Nov 2024,Kolkata
5,It is iPhone what do you expect,Fabulous!,Nov 2024,Kurnool
5,Excellent performance,Super!,Nov 2024,Adra
5,Bikash,Brilliant,Nov 2024,Kamrup District
5,Great product loved it ! A worthy buy,Fabulous!,Nov 2024,Akkalkot
5,This phone is wow,Super!,Jan 2024,Akhnoor
3,Only craze Not work all future More apps paid No recommended for normal people,Does the job,Nov 2024,Chennai
5,Supperrrrrrrr,Simply awesome,Nov 2024,Faridabad
5,Great product RAJNISH,Great product,Nov 2024,Akbarpur
5,,Terrific,Nov 2024,Ahmedabad
5,Loved this,Must buy!,Nov 2024,Haldwani
5,Finest product,Simply awesome,Jan 2024,Gurugram
5,Best mobile Adarsh upadhyay,Classy product,Nov 2024,Dewas
5,All are good,Brilliant,Nov 2024,Agartala
5,Best product,Excellent,Nov 2024,Ernakulam
5,The product is so good.,Excellent,Nov 2024,Delhi Division
5,Product is good.,Simply awesome,Nov 2024,Bhubaneswar
5,Excellent All features are same as iPhone 16,Worth every penny,Nov 2024,Agartala
5,Awesome phone,Best in the market!,Nov 2024,Kalyani
5,Design - 1010 so good in fand feeling Display - 1010 Camera quality - 1010 Refresh rate - 910 60Hz display.... If its your first iphone then it would feel so good..... Battery - for normal use the battery lasts for 36-40 hrs minimum.... The only problem is the battery drains very fast while using the camera.... If someone uses the camera a lot then the battery lasts for 20-24 hrs....,Classy product,Nov 2024,Agartala
5,Superb Amit singh,Brilliant,Nov 2024,New Town
4,"This phone gets very hot when you turn on the camera and the battery lasts less, everything else is fine",Wonderful,Nov 2024,Bilhaur
5,Working good... Dual SIM activated,Simply awesome,Nov 2024,Siliguri
5,"Very, very, very nice KABIR CHOWDHURY",Brilliant,Nov 2024,Barasat
5,nice suman mondal,Excellent,Nov 2024,Presidency Division
5,Dhanjay,Must buy!,Nov 2024,Purba Champaran District
4,Nice product iphone 15,Really Nice,Nov 2024,Moradabad
5,Best mobile in this price range,Great product,Feb 2024,Chittoor
4,"It is an awesome, phone superb camera quality, superb built and feel, an iPhone does feel really premium , not kidding display is also very good. But ios software is very bad compared to android, the notifications and other major stuff which are very important in day to day life cannot be controlled easily. The software experience is sub par when you come from Android. Viswatej P",Pretty good,Nov 2024,Rajahmundry
5,Very,Simply awesome,Nov 2024,Kolkata
5,Excellent product by iphone,Best in the market!,Nov 2024,Vidisha
5,Awesome,Terrific purchase,Nov 2024,Lucknow
5,Value for money Superb performance Masst camera Bawal look Dynamic Island features excellent,Fabulous!,Nov 2024,Sitamarhi District
5,Overall very good Shyam sundar mondal,Must buy!,Nov 2024,Guskara
5,Awesome phone,Simply awesome,Nov 2024,Kolkata
5,MD SOUDAGAR ALLAM,Best in the market!,Nov 2024,New Delhi
5,Neelam saibhagavan,Super!,Nov 2024,Hyderabad
5,Unbelievable ABDUL RAUF KHAN,Simply awesome,Nov 2024,Adilabad
5,Best quality ARINDAM DAS,Must buy!,Nov 2024,Kolkata
5,Lisharch saikia,Excellent,Nov 2024,Dibrugarh
5,Thankyou Deva morya,Must buy!,Nov 2024,Biaora
4,Bapon,Good choice,Nov 2024,Mangaldoi
5,Best iPhone,Perfect product!,Nov 2024,Ballia District
4,Good DARSHAN SHIRAHATTI,Worth the money,Nov 2024,Bengaluru
3,Phone is getting heat during charging and while using camera.,Decent product,Nov 2024,Rudrapur
1,wasted! my,Horrible,Nov 2024,Dhanbad
5,Awesome Kasim choudhary,Brilliant,Nov 2024,Ghaziabad
5,viplav churi,Mind-blowing purchase,Nov 2024,Tarapur
4,Nice colour good,Pretty good,Nov 2024,New Delhi
5,Nice shalini thakur,Perfect product!,Nov 2024,Jabalpur
5,Very very good product NISHU TOMAR,Terrific purchase,Nov 2024,Gurugram
5,Loving it Divya V,Must buy!,Nov 2024,Prayagraj
4,I phone and its camra is best in class ....size is matter if your hand is wide .....also heating issue present in there....allover value of product is pay camra and brand only ankit sharma,Good quality product,Nov 2024,Una District
5,SHIBAM NONIA,Highly recommended,Nov 2024,Asansol
5,It looks and performs great. Got it during diwali sale so can say its a value for money device.,Worth every penny,Nov 2024,Una District
5,Excellent,Just wow!,Nov 2024,New Delhi
1,Deepak,Worthless,Nov 2024,Noida
5,Daniyal,Wonderful,Nov 2024,New Delhi
5,Mohd,Best in the market!,Nov 2024,Bareilly
5,Nice colour Aki kumar,Great product,Nov 2024,New Delhi
1,I received a faulty poor.very poor network reception.should not buy online iPhone.,Waste of money!,Nov 2024,Narsipatnam
5,Its really a good product,Classy product,Nov 2024,Bhadreswar
5,Awesome camera and software experience Anurag kumar,Great product,Nov 2024,Haldwani
1,Heating issues,Worthless,Nov 2024,Meerut Division
4,,Delightful,Nov 2024,Rajahmundry
5,Nice product,Just wow!,Nov 2024,Rae Bareli
5,Amazing,Excellent,Nov 2024,Noida
5,Nice camera.. excellent Srikant kumar,Simply awesome,Nov 2024,Presidency Division
5,Awesome product,Classy product,Nov 2024,Kandhla
5,All good,Wonderful,Sep 2024,Godda
5,Totally awesome,Simply awesome,Nov 2024,Bengaluru
5,Best iphone in this year 2024...Without any doubt go for it,Classy product,Nov 2024,Agartala
5,Rahul,Awesome,Nov 2024,Jammu
3,Muskan S,Just okay,Nov 2024,Aurangabad
4,Go for the pro models! its better to invest little more for the upgradation.,Very Good,Nov 2024,Noida
5,Nice picture and value for money,Must buy!,Nov 2024,New Delhi
5,Sanaullah,Best in the market!,Nov 2024,New Delhi
5,One of the best compact phones.But it needs some updates on the screen segment.,Terrific,Nov 2024,Garulia
5,Tremendous deal,Perfect product!,Oct 2024,Bhopal
5,Awesome Product,Terrific,Oct 2024,Kotdwara
5,All components good wor,Super!,Oct 2024,Greater Noida
5,"Nice product, good performance",Worth every penny,Oct 2024,Kathua
4,Outstanding camera performance far better than iPhone 13 But Battery same as iPhone 13 Design great light weight feel premium,Worth the money,Oct 2024,Raiganj
3,pradeep rathode,Does the job,Oct 2024,Bengaluru
5,The product is good and the delivery experience was superb.,Terrific,Oct 2024,Lower Assam Division
5,"My iPhone 15 is a significant improvement over my OnePlus Nord 2, and I am very happy with the upgrade. The 5 years of change is indescribable, since you need to live it to experience it. I use my phone like a Swiss Army knife. The quality of the Swiss Army knife is excellent, and if you have a problem, it probably has a solution. Do you need to sharpen a stick to roast marshmallows over the fireplace? The knife will make short work and get straight to the point. However, if a bear attacks yo...",Perfect product!,Oct 2024,Balarampur Puruliya District
4,Decent phone with decent camera. Nowadays you should buy Apple only for its ecosystem. Otherwise go for android.,Really Nice,Jan 2024,Amritsar
5,Nice AYAN BISWAS,Worth every penny,Oct 2024,New Delhi
5,excellent,Perfect product!,Feb 2024,Hyderabad
5,Supar phone,Simply awesome,Jan 2024,New Delhi
4,Original product received,Delightful,Oct 2024,Meerut
5,Amazing performance.,Highly recommended,Oct 2024,Ambala
5,Owsm product,Wonderful,Oct 2024,Meerut
5,As usual iPhones are always a great buy.,Classy product,Oct 2024,Jodhpur
5,Smooth performance and Camera quality are so Good S M,Terrific purchase,Oct 2024,Birbhum District
5,Best ca,Worth every penny,Oct 2024,Bhopal
5,I love iPhone,Super!,Oct 2024,Konkan Division
1,Very bad display performance,Worthless,Oct 2024,New Delhi
5,Best phone In this price,Mind-blowing purchase,Oct 2024,Konkan Division
5,Good...,Awesome,Oct 2024,New Delhi
3,After using one weak I did not find any heating issues or lagging issues in the phone just go for it,Sachin Poojary,Oct 2024,Mangaluru
5,Osm phone souvik mitra,Just wow!,Oct 2024,Purba Bardhaman District
5,,Excellent,Oct 2024,Kota
5,Kuldeep,Perfect product!,Oct 2024,New Delhi
5,Best experience,Brilliant,Jan 2024,West Godavari
4,Suman,Value-for-money,Oct 2024,Tamluk
5,Nice phone,Just wow!,Oct 2024,Vasai Virar
4,surendranath gandla,Good choice,Oct 2024,Hyderabad
4,Awesome,Nice product,Oct 2024,Rudrapur
3,Camera is not so much good.,Decent product,Oct 2024,Bhubaneswar
5,Nice colour... awesome look...all over good PAYEL MANDAL,Classy product,Oct 2024,Kolkata
5,"Awesome delivery by Flipkart, One Day delivery best...",Highly recommended,Oct 2024,Bengaluru
5,,Terrific,Oct 2024,Ahmedabad
5,"Good camera quality and performance of mobile excellent,but only drawback is battery mah and small display. pratap kumar nayak-biju",Super!,Oct 2024,Baleshwar
5,I like but battery quality slightly low,Perfect product!,Jan 2024,Hanamkonda
5,Awesome products,Best in the market!,Jan 2024,Ghaziabad
5,Eunus,Terrific purchase,Oct 2024,Lakhipur Goalpara District
5,Awesome Deepu swarnkar,Worth every penny,Jan 2024,Udham Singh Nagar
4,Very good MOHD AZAM,Good choice,Oct 2024,New Delhi
5,SOumen,Excellent,Oct 2024,Murshidabad
4,Shahil,Really Nice,Oct 2024,Kharora
3,Heat issue during charging and slow charging,Useless product,Feb 2024,Burdwan
4,Excellent,Really Nice,Oct 2024,Greater Noida
5,Excellent,Terrific purchase,Oct 2024,Agartala
4,Product was amazing but some heating issue. Very nice phone.,Value-for-money,Oct 2024,New Delhi
5,outstanding Nabajyoti paw,Super!,Feb 2024,Jorhat District
5,Awesome,Great product,Oct 2024,Kolkata
5,Awesome Pavan Kumar M M,Just wow!,Jan 2024,Bangalore
5,Performance Is,Excellent,Oct 2024,Biharsharif
5,"Nice battery backup, overall good but have some heat issue",Simply awesome,Oct 2024,Bhadreswar
5,This is nice product,Best in the market!,Jan 2024,Gurgaon
5,As always its best,Perfect product!,Oct 2024,Ajmer
5,Nice product,Great product,Oct 2024,Khordha District
5,First time I purchased iPhone. Feelings are amazing,Great product,Oct 2024,Kangra
3,Apple is,Decent product,Oct 2024,New Delhi
5,Nice product.Must buy.,Classy product,Feb 2024,Darbhanga
5,Osm and original go for it guys,Highly recommended,Oct 2024,Thakurdwara
5,Over all good Mohan D V Auditor and,Awesome,Oct 2024,Bengaluru
3,Avg not as per expected ganesh swami,Decent product,Oct 2024,Bikaner
5,Awesome. Thanks to Flipkart. I am really enjoyed and satisfied VIJAYA KUMAR,Best in the market!,Oct 2024,Viswanathapuram
4,Good product. Must buy,Very Good,Oct 2024,Ludhiana
5,Utkarsh,Wonderful,Oct 2024,Jalaun
5,it like it colour ... i really happy 2 have my product ABHIJEET,Highly recommended,Oct 2024,Jabalpur
5,Nice color apple thanks manish koli,Wonderful,Oct 2024,New Delhi
5,Krishnanand,Excellent,Oct 2024,Patna
4,Nice product,Pretty good,Oct 2024,Navi Mumbai
4,Best phone under this price. Camera quality awesome and battery performance is okay. But heating issue in this phone.,Wonderful,Oct 2024,New Delhi
5,SILPA,Worth every penny,Feb 2024,Adra
5,Very Nice,Just wow!,Oct 2024,Patiala
1,It was my first video call with a friend and my phone got hung.... My bad luck or phone issue .. didnt understand,Absolute rubbish!,Oct 2024,Ludhiana
5,Zainab,Must buy!,Oct 2024,Lucknow
5,Iphone to iphone h,Worth every penny,Oct 2024,Sumerpur
5,BEST IN THIS PRICE THANK YOU,Just wow!,Oct 2024,Jaipur
5,Good but battery camera n performance must be improved as per price.,Mind-blowing purchase,Oct 2024,Suratgarh
5,After all its iphone and performance is good. But still 60Hz which is shame.,Must buy!,Oct 2024,Hanamkonda
5,The product is as expected.,Terrific purchase,Oct 2024,Mohali
5,Feelings better than other phones when catching in hand you know that ?? I am also know,Worth every penny,Oct 2024,Ludhiana
4,All above good,Value-for-money,Oct 2024,Bankura District
5,Awesome,Wonderful,Oct 2024,New Delhi
5,Gud phone,Classy product,Jan 2024,Saharanpur
1,Is global stock i am not satisfied,Worthless,Oct 2024,Bhubaneshwar
4,Ankur,Delightful,Oct 2024,Ayodhya
5,Iphone 15 is amazing looks with performance,Awesome,Oct 2024,Patna
5,Very good phone,Just wow!,Oct 2024,Kanpur
1,"Doesnt work after 2 days. Even they didnt take any initiative. I received a dead phone. I will suggest to all of you please if u are planning to buy costly phones then buy from the store. I know the store will not provide a huge discount but if you face any issues regarding the phone, they will help you.",Worst experience ever!,Oct 2024,Howrah
4,Isha,Good choice,Oct 2024,Jammu
5,Very good,Awesome,Oct 2024,Kalyan
4,"Phone is great , the camera is osm but the battery drain very fast especially in ios 18 overall phone is very smooth",Wonderful,Oct 2024,Srinagar
5,"Great deal, phone is good camera not that level compared to google pixel, overall great product",Must buy!,Oct 2024,Bengaluru
5,Nice phone ever,Classy product,Oct 2024,Hilsa
5,Excellent phone at very reasonable price,Brilliant,Oct 2024,Jalandhar
5,Very nice phone IDRISH SEKH,Great product,Oct 2024,Vasai Virar
5,Tufer,Perfect product!,Oct 2024,Jamnagar
4,Gajanan,Worth the money,Oct 2024,Aurangabad
5,Best,Worth every penny,Oct 2024,Muzaffarpur
4,Gud one but camera is average in this time krishnamani dixit,Nice product,Oct 2024,Saharsa
5,Awesome...my 1st iphone 15,Terrific,Oct 2024,Ambarnath
5,Mint green just looking like a wow,Excellent,Oct 2024,Madurai
5,Nice phone Thanks u,Super!,Oct 2024,Ghazipur
5,"Trustable , good service I love this phone",Must buy!,Oct 2024,Kolkata
5,i phone 15,Awesome,Oct 2024,Ernakulam
5,,Fabulous!,Oct 2024,Fatehabad
5,super phone,Terrific,Oct 2024,Fatehabad
4,Product is really worthful,Delightful,Oct 2024,Jaisalmer
5,"Good processor, perfect screen and little weighted.",Classy product,Oct 2024,Hyderabad
5,Overall good Kumar R,Perfect product!,Oct 2024,Bengaluru
4,"Box was damaged, phone looks very good, awesome touch feel. Neelagandan G",Good quality product,Feb 2024,Coimbatore District
4,Good product,Nice product,Oct 2024,Kanpur
5,Anshubijoy,Highly recommended,Oct 2024,Golaghat
1,"photos not clear, Blurr images from back camera after updating to IOS 18.1. Overheating problem during charging. Plz suggest me how to get the back camera right. Anipta parida",Worst experience ever!,Oct 2024,Paradip
5,ANSH CHAUDHARY,Great product,Oct 2024,Durgapur
5,Puneet,Terrific,Oct 2024,Noida
5,I ordered this phone I had doubt abt Flipkart but I received a mobile with the original box and all functionalities are working as per expected without doubt you can purchase. Worth of it Thank you Flipkart I just loved it Brunda ravish,Terrific,Oct 2024,Bengaluru
4,"9,486 Reviews 2,13,338 34,165 12","2,71,695 Ratings",,062
5,All is good but battery sometimes go on heat up AMIT SAHU,Just wow!,Aug 2024,Indore
1,Speaker is not working from the day one and i had to go to the apple store for the problem hated this process Otherwise phone was good but heating issue is obvious,Did not meet expectations,Oct 2024,Banswara
5,This phone is very hot In big billion sale prizes its too good Ito to smooth..... To sexy..... iphone15,Great product,Sep 2024,Suratgarh
5,Very good product suman maity,Perfect product!,Oct 2024,Purba Medinipur District
5,Novojyoti,Great product,Aug 2024,Cachar District
5,"iPhone is the world best mobile, but battery life is low RAKESHKUMAR RAMSANGBHAI JADAV",Just wow!,Oct 2024,Nadiad
5,Very good product . camera is beast,Awesome,Sep 2024,Uttar Latabari
5,I love it,Super!,Mar 2024,Badgam
5,"This is the first time Ive purchased iphone and its great. Performance, speed and the feature is good and new update of the IOS having great feature and customizations in the UI. Atul kumar",Simply awesome,Aug 2024,Rewa
5,"Very Good Product, Thanks to Flipkart for delivering sucessfully on time.",Mind-blowing purchase,Sep 2024,Bhubaneswar
2,Pls provide your user minimum 90 fps atleast in non pro model,Slightly disappointed,Sep 2024,New Delhi
5,Great experience,Wonderful,Sep 2024,Itanagar
5,Nice cameras looks great Seshamma gari Ramesh reddy,Awesome,Sep 2024,Hyderabad
5,I love this,Great product,Sep 2024,Hazaribagh
5,SURESH D,Super!,Oct 2024,Chennai
5,Ashish,Wonderful,Oct 2024,Surendranagar
5,Nice very good Narender.kumar sapna,Highly recommended,Aug 2024,Pataudi
1,"I ordered in black color, around the camera the rim came in black color as well. But that rim color was so badly painted. It started to come out. Now i can see removed colour and white aluminium visible on that rim. It look like that this iPhone is not upto the mark. Better to choose other colour, because they might not get this much visibility of color spots on rim. Dr.",Very poor,Aug 2024,Chennai
5,Nice Good buy UMAMAHESH VARMA,Terrific,Aug 2024,Hyderabad
5,"Just Awesome, GO FOR IT Super fast delivery by flipkart",Terrific,Oct 2024,South Goa
4,Good one,Nice product,Sep 2024,Naugarh
5,Great product good camera PUNIT JAISWAL,Excellent,Oct 2024,Varanasi
5,"Its iPhone 15, you know what youre getting. Nothing much to think.",Brilliant,Sep 2024,Sundergarh
5,Very good bahut achchha,Highly recommended,Oct 2024,Mohali
5,Ultimate choice,Terrific,Oct 2024,Haridwar
5,I was completely impressed and the good part is that you can easily maintain it,Worth every penny,Aug 2024,Ratia
5,Very happy with the product. souvik banik,Brilliant,Aug 2024,Kolkata
1,Product is Good But Flipcart Exchange Policy is Useless VISHNUKANT SUTHAR,Utterly Disappointed,Sep 2024,Banswara
5,Worth it,Simply awesome,Sep 2024,Nadia District
5,Perfect replacement for my iphone 6s.,Awesome,Aug 2024,Vrindavan
5,Veenit,Wonderful,Oct 2024,Rajsamand
5,Fantastic phone at this price. Very minimalist and optimal performance,Bang for Buck in BBD sale,Oct 2024,Lucknow
4,Perfect iphone have best camera and type c charging.,Worth the money,Oct 2024,Suratgarh
5,Awesome display and camera quality and much better performance and design. I love this battery and Apple devices.,Fabulous!,Sep 2024,Mathura
5,Good mobile,Terrific,Oct 2024,Bengaluru
5,Recieved in great condition,Brilliant,Sep 2024,Gangakhed
5,wow this phone camera is superb performance is very good designed is wow Flipkart ANAND SINGH,Terrific,Oct 2024,Baksa District
4,Super,Really Nice,Aug 2024,Mahbubnagar
5,Good looking phone,Perfect product!,Oct 2024,Thiruvananthapuram
5,"Simply premium!! A great blend of class, performance, style and efficiency. Worth buying!!",Must buy!,Oct 2024,New Delhi
5,Good product and quality,Wonderful,Oct 2024,Balotra
5,Juttiga,Classy product,Sep 2024,Hyderabad
4,I Dont,Good quality product,Aug 2024,Jhansi
5,After 15days of Use this phone is absolutely amazing,Terrific,Aug 2024,New Delhi
2,Not bad,Could be way better,Oct 2024,East Godavari District
4,camera is excellent hemant sejkar,Good quality product,Aug 2024,Harda
5,Nice product,Great product,Sep 2024,Tufanganj
5,Superb performance Mirror by the team ANIL punna,Fabulous!,Jul 2024,Karimnagar District
5,"Excellent product, timely delivery, delivery executive was polite and got the product at a great price.",Fabulous!,Sep 2024,New Delhi
5,nice Akhil ch,Brilliant,Jul 2024,Tuni
5,Awesome Fc jandabad Santosh kumar,Terrific,Jul 2024,Cuttack
5,its amazing,Wonderful,Oct 2024,West
4,Awesome must buy it I m really happy with iPhone 15 Megha bodhan,Very Good,Jul 2024,Kalaburgi
5,Loved it,Perfect product!,Jul 2024,Bangalore
4,Satisfied with camera but small in other mobiles,Delightful,Oct 2024,Madhupur
5,Great mobile osome camera and also a great deal by flipkart,Terrific,Oct 2024,Lower Assam Division
5,Phenomenal,Perfect product!,Jul 2024,Mumbai
5,superb deal for us. thanks Flipkart. sumit negi,Terrific,Sep 2024,New Delhi
4,Everything is superb . Only battery is little bit concern as it is draining quickly.,Nice product,Oct 2024,Atchutapuram Apsez
5,One of the best mobile phones.,Terrific purchase,Oct 2024,New Town
5,Nice product,Worth every penny,Sep 2024,Varanasi
4,Best camera phone,Very Good,Oct 2024,Chandwa
5,Good deal,Brilliant,Jul 2024,Dibrugarh District
5,Manas,Highly recommended,Oct 2024,Nagpur
5,Nice phone,Simply awesome,Sep 2024,Aligarh
5,"Amazing phone Looks good specially the blue colour, feels very premium while holding and perfect size. Also runs very smooth too, definitely not as smooth as 120hz smartphones though.",Classy product,Sep 2024,Surguja District
5,Must hai,Awesome,Jul 2024,Sarni
5,very good phone,Just wow!,Oct 2024,Panchkula
5,Okay with price and offers.,Just wow!,Jul 2024,Surat
4,"Good product, good camera",Nice product,Sep 2024,Prayagraj
4,"Simply awesome phone , i loved it.",Nice product,Sep 2024,Rourkela
5,Good phone i buy lowest price.fast dilevery.,Worth every penny,Sep 2024,Aurangabad
5,All good,Simply awesome,Sep 2024,Ganganagar
5,Over all good phone. Just go for it. SUBAN BASHA,Fabulous!,Sep 2024,Kadapa
5,Good product,Perfect product!,Sep 2024,Kotkhai
5,iPhone 15 was amezing!!! Check My,Brilliant,Oct 2024,Udaipur
5,Love it,Wonderful,Jul 2024,Lucknow
5,Pretty amazing phone great battery life great camera a little underwhelming Very weird exchange experience,Simply awesome,Sep 2024,Udupi
5,"i like dolby speakers, the sound quality is fantastic. Awesome Camera .I love it Vishuu N",Worth every penny,Sep 2024,Kapurthala District
5,Nice product And good quality,Best in the market!,Sep 2024,Nashik
5,I am so happy,Best in the market!,Oct 2024,Jatara
4,Excellent phone great design love it.,Delightful,Oct 2024,Hyderabad
5,Nice experience vijay,Terrific purchase,Mar 2024,Jalna
5,Very good and original i love Flipkart forever,Best in the market!,Jul 2024,Gurdaspur
5,Nice,Awesome,Sep 2024,Lakhimpur
5,Awesome,Super!,Sep 2024,Kanhe Industrial Area
5,Very nice product... Love this Satya priya,Awesome,Sep 2024,Kishanganj District
5,Awesome iPhone experience must buy if you are looking for camera and you are a photographer. Battery is decent. madhukar chaudhary,Terrific,Sep 2024,Haldwani
4,Nice but 15 plus 256 bast phone,Nice product,Sep 2024,Dharuhera
5,Really worth it item you mist try this,Great product,Sep 2024,Chandigarh
5,Very good product Rajesh nath,Super!,Oct 2024,Indore
5,Excellent! Thank you so much.,Great product,Oct 2024,New Delhi
5,Top notch quality... Blue color is just litttt,Worth every penny,Sep 2024,Ranchi
1,After using 5 minutes phone Heating and in sun phone heat and in keep in pocket then phone heating Heating problem is more SANTOSH KUMAR,Waste of money!,Oct 2024,Faizabad District
5,Good,Terrific,Oct 2024,Bathinda
5,Amazing.,Worth every penny,Sep 2024,Kagal Midc
1,I am not satisfied for this,Worthless,Oct 2024,Muradnagar
5,Go for it .,Awesome,Jul 2024,Amravati
5,excellent Avinash kumar,Terrific purchase,Sep 2024,Rajkot
5,Very nice,Brilliant,Jul 2024,Noida
5,Best in class...no complaints so far,Just wow!,Jul 2024,Ranchi
4,Product properly and safe too deliver then nice products sh,Really Nice,Jul 2024,Chennai
5,fabulous,Just wow!,Jul 2024,Kanpur
5,All good,Best in the market!,Jul 2024,Chandigarh
1,Poor camera quality,Utterly Disappointed,Jul 2024,New Delhi
4,Pink shade is nice but blue shade is almost like white.,Wonderful,Sep 2024,Madhyamgram
3,"Ok , heating issue while using in sunlight",Decent product,Jul 2024,Pimpri Chinchwad
5,"The best, delivery was quick , exchange was quick, great job flipkart",Terrific purchase,Jul 2024,Bangalore
4,Best,Nice product,Oct 2024,Gurugram
5,Ritik,Fabulous!,Sep 2024,Jaipur District
5,My 1st dream phone and I like it so much so Im happy,Fabulous!,Sep 2024,Bharuch
5,,Must buy!,Sep 2024,Kolhapur District
5,Awesome and handy,Brilliant,Jul 2024,Jaipur
4,Good,Wonderful,Sep 2024,Gorakhpur
5,Loved this phone Rajat mahatu,Worth every penny,Jul 2024,Jorhat
5,"very good phone, i am very happy with the product and flipkarts same day delivery ditya",Mind-blowing purchase,Sep 2024,Meerut Division
5,Vinod,Classy product,Jul 2024,Thiruvananthapuram
5,GREAT EXPERIENCE,Fabulous!,Sep 2024,Bilaspur Rampur District
5,,Awesome,Oct 2024,Mancherial
5,I am so happy with my new I phone 15 loved it great experience camera quality display smoothness all are excellent.,Mind-blowing purchase,Sep 2024,New Delhi
5,awesome,Super!,Sep 2024,Vijayawada
5,Superb original apple fully recommended delivered on time RAJBIR SINGH,Awesome,Jul 2024,Bengaluru
5,Awesome phone laxmikant,Excellent,Jul 2024,Bengaluru
5,All good,Terrific,Sep 2024,Kolkata
4,Lovely look....Im satisfied Rakesh ku.,Pretty good,Sep 2024,Bellary
5,I really enjoying this phone but one thing that i find is not ok is its storage capacity that only 5 gb and it runs very fast,Fabulous!,Jul 2024,Amritsar
4,"The Apple 15 is a fantastic, lightweight phone with excellent performance. Its perfect for everyday use and looks sleek too! ADARSH H",Pretty good,Jul 2024,Palakkad
5,Super love it,Just wow!,Sep 2024,Agra
5,"Awesome, but battery should be increase upto 4000 mah",Classy product,Sep 2024,Jamshedpur
5,The customer and delivery partner is very humble and sweet person and phone also to love it apple pankaj saini,Brilliant,Sep 2024,New Delhi
5,Picture qwality best to best.fantastic,Perfect product!,Sep 2024,Lucknow
5,I like the most mangesh chhotelal yadav,Brilliant,Oct 2024,Vasai Virar
5,Very very nice mobile,Awesome,Sep 2024,Mumbai
3,Heat issue sachin dubey,Decent product,Oct 2024,Loni
5,You have to charge it 3 times atleast if you use it as a primary phone Otherwise the phone is yoo,Simply awesome,Jun 2024,Navi Mumbai
5,Good at all,Excellent,Sep 2024,Baidyabati
5,Abhi,Great product,Jun 2024,Hazaribagh
5,All over very good,Super!,Oct 2024,Chandigarh
5,Got IPhone 15 in BBD sale Totally original product all good fully satisfied,Terrific purchase,Sep 2024,Nainital District
5,Thank u Flipkart for this amazing deal,Great product,Oct 2024,Mumbai
5,Build quality fantastic and performance is better than S24 CHANDRABHAN NISHAD,Fabulous!,Sep 2024,Ambala District
5,Value for worth MANI KANDAN,Worth every penny,Oct 2024,Chennai
5,"Good product, all features are awesome. m happy with this.",Simply awesome,Jun 2024,Noida
4,"The latest iteration of this popular phone boasts impressive new features. A notable upgrade is the camera, which captures stunning photos and videos. The battery life has also been significantly improved, lasting throughout even the busiest days. The sleek design and vibrant display make it a joy to use. Overall, this phone offers a premium mobile experience that is sure to impress.",Delightful,Sep 2024,Aurangabad
5,iPhone is excellent. Excellent Camera. Got it in BBD 24 in,Terrific purchase,Sep 2024,Bengaluru
1,After 1 month of usage 29 charging cycles done battery drains rapidly and battery health is down to 99,Worst experience ever!,Oct 2024,Chodavaram
5,Excellent,Simply awesome,Sep 2024,Patna
5,REDUCED MY MOBILE PRICE THAT I HAVE EXCHANGED ...,Must buy!,Sep 2024,Anugul District
5,Very good phone,Terrific purchase,Sep 2024,Bengaluru
5,Great delivery good Parveen Kumar pk,Super!,Oct 2024,Reasi
5,Very Smooth experience,Perfect product!,Jun 2024,Akbarpur
5,Apple always better then,Excellent,Oct 2024,Chennai
5,Sooooooo Smooth and feels buttery in every aspect just BigBillion 2k24 rahul kashte,Great product,Sep 2024,Pune
5,Fantastic Marshal Sebastin P,Super!,Jun 2024,Chennai
5,Great,Just wow!,Sep 2024,Bangalore
